category_id,sku,price
7,45080,0.99
7,91862,2.41
7,43665,2.32
7,61539,2.66
7,49217,2.99
7,11852,2.91
7,77381,2.91
7,33803,4.67
7,58804,4.99
7,78173,4.99
7,99304,7.74
7,52365,6.49
7,74511,6.57
7,87889,6.57
7,15361,5.57
7,68165,7.91
7,69416,8.32
7,69089,10.99
7,91232,49.99
7,92610,7.49
7,14637,4.66
7,11220,7.95
7,99887,7.95
7,91351,59.9
7,85137,10.62
7,66044,8.32
7,60449,11.66
7,57280,4.99
7,36594,54.16
7,30658,5.41
7,27912,4.99
7,24885,10.62
7,51064,1.95
7,38941,3.91
7,77137,4.91
7,96154,10.5
7,79630,2.49
7,47790,4.32
7,98810,5.57
7,89121,5.57
7,85802,10.5
7,69243,4.91
7,18844,10.82
7,39773,2.91
7,10243,2.91
7,60981,4.91
7,47409,5.82
7,21735,10.5
7,19015,2.74
7,98918,2.91
7,66578,3.32
7,95550,4.99
7,68418,7.07
7,54567,21.66
7,27571,3.92
7,17233,10.5
7,74688,10.5
7,10893,3.32
7,78519,10.41
7,30653,10.5
7,29227,4.91
7,84704,5.91
7,78871,1.91
7,86374,1.66
7,22271,5.16
7,61864,11.91
7,31670,8.57
7,97510,8
7,61251,5.91
7,16435,3.07
7,49358,11.24
7,79271,8
7,80659,7.66
7,52489,16.66
7,26219,6.66
7,36863,24.99
7,60395,7.49
7,93518,4.99
7,65666,17.49
7,93568,16.66
7,90006,10.5
7,81913,2.16
7,73723,10.5
7,48156,8.32
7,88524,6.49
7,49296,6.66
7,39201,9.99
7,94548,8.32
7,31341,10.5
7,76996,5.82
7,68055,29.16
7,38577,8
7,54493,6.49
7,62071,8
7,63775,25.41
7,61235,19.76
7,44511,5.82
7,67159,12.49
7,19378,20.82
7,57947,4.99
7,31552,7.07
7,25205,10.5
7,74493,5.24
7,52332,11.66
7,71377,10.82
7,70077,8.32
7,59879,16.66
7,48254,10.5
7,35668,20.48
7,99859,7.66
7,13708,6.49
7,92139,8.32
7,99644,8.33
7,93424,9.58
7,89519,8.33
7,89111,8.74
7,83128,8.33
7,75817,4.45
7,72066,8.33
7,71500,25.41
7,63106,6.65
7,61606,5.41
7,53825,2.12
7,43195,4.67
7,42287,6.24
7,40004,8.32
7,29905,8.66
7,29625,8.33
7,26123,5.39
7,24835,5.39
7,19709,4.87
7,19353,4.67
7,14503,14.66
7,52047,4.57
7,35102,6.82
7,40588,1.32
7,75719,7.41
7,46602,11.82
7,73214,6.24
7,73723,10.5
7,75208,1.66
7,74611,21.82
7,84715,24.99
7,75661,11.81
7,66651,20.41
7,28929,33.32
7,28222,2.24
7,16592,5.82
7,26507,3.99
7,13861,4.99
7,76921,3.99
7,58145,3.91
7,85566,5.66
7,74523,10.5
7,17707,5.82
7,85399,6.24
7,27381,4.99
7,50988,9.82
7,87959,6.99
7,67949,5.66
7,59121,6.66
7,15953,6.66
7,27631,9.82
7,72459,5.82
7,48343,8.32
7,79192,4.99
7,29734,6.66
7,95706,5.82
7,18737,6.24
7,61679,6.74
7,20201,3
7,30227,2.12
7,68110,0.82
7,61281,1.65
7,58340,1.4
7,66869,5.32
7,58759,5.32
7,44852,3.32
7,82213,1.53
7,85005,0.82
7,74506,4.2
7,21629,5.4
7,97723,3.99
7,63962,3.32
7,51354,1.12
7,70218,0.82
7,49011,6.35
7,61291,3.82
7,90060,0.82
7,44920,3.32
7,29812,3.32
7,99598,5.82
7,40544,2.61
7,22432,0.82
7,45669,3.32
7,81222,1.93
7,88217,4.94
7,53922,4.07
7,61808,0.82
7,34224,2.97
7,81953,5.41
7,71239,4.07
7,59404,4.34
7,89629,4.16
7,53122,6.99
7,82644,4.99
7,51610,0.82
7,87448,7.49
7,64699,3.32
7,74984,5.82
7,73266,2.16
7,57078,8.49
7,75346,5.74
7,62388,4.2
7,49589,4.99
7,82230,7.16
7,18482,15.82
7,13645,4.99
7,20604,0.82
7,15153,3.32
7,23876,3.32
7,43725,0.82
7,53173,15.82
7,74929,4.7
7,90983,6.98
7,16309,7.91
7,10867,10.82
7,52536,4.16
7,21116,8.99
7,69026,4.99
7,25578,6.66
7,55262,4.66
7,80306,3.32
7,66322,5.57
7,51272,4.99
7,50509,6.24
7,29474,5.14
7,97962,4.41
7,12545,6.43
7,94133,6.22
7,68757,8.27
7,26087,4.99
7,14040,3.32
7,72429,4.98
7,24222,10.82
7,83661,5.25
7,17635,7.97
7,97704,4.98
7,90814,9.61
7,15018,5.66
7,48844,6.92
7,44637,6.66
7,62553,6.08
7,75173,7.52
7,42982,9.44
7,83901,6.02
7,36406,9.88
7,52305,3.82
7,64601,7.86
7,62488,3.49
7,62009,12.65
7,15980,4.99
7,10909,7.49
7,63625,2.66
7,24792,12.37
7,89337,3.19
7,85936,1.86
7,75120,8.32
7,68878,5.82
7,51983,3.92
7,46672,2.99
7,41796,2.4
7,39651,7.48
7,38594,4.16
7,31077,6.26
7,17590,10.66
7,12791,5.07
11,64713,7.07
11,51977,9.15
11,37040,11.65
11,66542,18.32
11,58829,20.82
11,87314,22.48
11,89744,49.98
11,57222,83.32
11,33247,20.82
11,37452,18.32
11,27275,22.48
11,81342,92.48
11,44233,83.32
11,43273,89.98
11,49743,124.98
11,47480,27.48
11,94803,22.48
11,68942,72.48
11,17898,24.15
11,50054,83.32
11,47390,124.98
11,99434,487.48
11,92753,108.32
11,60425,37.48
11,84055,43.32
11,86444,124.98
11,44395,116.65
11,28560,166.65
11,23519,16.65
11,46310,5.23
11,51008,12.48
11,94459,20.82
11,98484,6.65
11,10974,29.15
11,28413,16.65
11,23052,24.98
11,98831,24.98
11,97832,6.65
11,79061,7.48
11,45930,6.65
11,30505,9.98
11,40322,36.65
11,41289,16.65
11,92100,29.15
11,98850,20.72
11,67693,14.98
11,32904,4.98
11,22275,35.82
11,91051,16.65
11,29617,13.32
11,97394,14.15
11,32372,31.65
11,61305,114.98
11,94440,23.32
11,50347,114.98
11,73906,7.48
11,97477,16.65
11,60411,16.65
11,44063,22.48
11,36170,17.48
11,44879,9.98
11,84218,19.15
11,25688,18.32
11,77064,30.82
11,49650,16.65
11,76475,22.48
11,91823,19.98
11,58048,13.32
11,14455,124.15
11,10464,24.98
11,65268,22.48
11,98653,27.48
11,76322,124.15
11,60141,35.82
11,81775,431.65
11,80092,18.32
11,95444,8.23
11,91384,5.47
11,90956,7.07
11,71558,6.62
11,69632,8.57
11,63188,11.87
11,49965,19.98
11,49785,27.48
11,48882,62.48
11,35789,7.49
11,35258,40.62
11,35248,29.98
11,26789,13.72
11,17062,4.4
11,68201,41.65
11,59139,41.65
11,98486,62.48
11,15510,99.15
11,47492,80.82
11,84903,133.32
11,99840,80.82
11,45604,162.48
11,99434,487.48
11,86686,93.32
11,80359,49.98
11,68140,243.32
11,45353,24.98
11,39801,74.98
11,37835,76.65
11,63656,89.15
11,52253,120.82
11,99569,93.32
11,84621,60.82
11,23831,49.15
11,82237,166.65
11,35616,74.98
11,18874,45.82
11,13697,72.48
11,43881,51.65
11,20998,166.65
11,81167,80.82
11,87802,41.65
11,46182,258.32
11,96866,107.48
11,99393,415.82
11,24811,421.65
11,43110,241.65
11,57625,274.98
11,27840,34.15
11,32476,249.98
11,71650,233.32
11,65077,283.32
11,83700,308.32
11,99975,56.65
11,97391,249.98
11,93514,233.32
11,92408,266.65
11,81585,249.98
11,81079,266.65
11,79628,241.65
11,77484,258.32
11,76840,328.32
11,76752,274.98
11,76647,74.98
11,76147,283.32
11,69345,206.65
11,65887,374.98
11,62565,421.65
11,56433,187.48
11,53659,258.32
11,52992,187.48
11,52542,421.65
11,49185,41.23
11,48981,258.32
11,48449,291.65
11,47801,249.98
11,42996,249.98
11,35420,89.15
11,32924,249.98
11,25967,241.65
11,24018,215.82
11,23851,285.82
11,23180,241.65
11,16494,291.65
11,13086,308.32
11,12048,26.23
11,53545,24.98
11,66474,17.9
11,80861,14.57
11,91776,26.23
11,50686,19.15
11,67946,26.23
11,59307,24.98
11,10029,24.98
11,31447,18.73
11,84699,25.4
11,38913,29.57
11,21519,39.98
11,99569,93.32
11,19406,22.48
11,66400,58.32
11,85421,33.32
11,43285,36.66
11,28607,28.32
11,17405,53.32
11,11883,33.32
11,19523,38.32
11,32351,38.32
11,40550,54.99
11,37593,40.82
11,82954,34.99
11,38625,41.65
11,96993,36.66
11,89693,39.16
11,76647,74.98
11,70585,44.15
11,50306,41.25
11,49185,41.23
11,46629,64.98
11,40310,44.15
11,24664,40.82
11,18937,38.32
11,14941,30.82
11,12048,26.23
11,85781,37.48
11,95737,37.48
11,28384,47.23
11,42206,35.82
11,61368,53.32
11,97513,38.98
11,85279,59.23
11,70902,8.32
11,98383,9.15
11,26452,20.82
11,82199,16.65
11,64403,26.98
11,77410,30.82
11,94015,33.32
11,60283,23.32
11,92643,26.98
11,14064,12.48
11,59441,44.98
11,52515,74.98
11,91742,45.82
11,77174,49.98
11,53820,1.57
11,18542,59.98
11,90412,59.98
11,13141,32.48
11,22723,44.15
11,65911,28.48
11,34776,45.82
11,62548,24.98
11,90734,19.15
11,11605,29.15
11,58089,30.82
11,60081,18.32
11,20761,37.48
11,57544,37.48
11,33830,45.82
11,35537,37.48
11,51856,36.65
11,25022,24.98
11,41318,66.65
11,75353,29.98
11,18148,52.48
11,20561,66.65
11,87748,19.15
11,78906,43.32
11,87476,37.48
11,77855,23.32
11,49723,37.48
11,21775,58.32
11,72538,95.82
11,92468,58.32
11,43756,122.48
11,72809,37.48
11,52104,33.32
11,61093,49.98
11,31667,44.15
11,27475,58.32
11,65120,87.48
11,18521,48.32
11,31143,66.65
11,21043,104.98
11,32935,65.82
11,43472,69.73
11,11754,56.65
11,43886,30.82
11,54781,89.98
11,99339,139.98
11,63281,74.98
11,76111,24.98
11,61940,66.65
11,18193,49.98
11,65423,70.48
11,41808,78.73
11,92958,58.32
11,42490,35.82
11,82182,74.15
11,49689,77.98
11,79052,82.48
11,95660,66.65
11,69496,61.65
11,90391,74.98
11,12924,59.98
11,16846,34.98
11,28212,87.48
11,95795,112.48
11,62713,74.98
11,94036,24.98
11,15689,83.32
11,70250,166.65
11,26684,58.32
11,22997,74.98
11,29312,51.65
11,12948,54.15
11,35655,49.98
11,16366,83.32
11,72430,170.82
11,36516,84.17
11,14782,37.48
11,55871,102.48
11,94273,74.98
11,24284,54.15
11,53767,74.15
11,91817,166.65
11,23078,91.65
11,38999,149.98
11,82455,70.82
11,25114,66.65
11,69979,174.98
11,64587,158.32
11,31400,186.65
11,70366,58.32
11,86316,64.98
11,83771,70.82
11,75218,121.65
11,56897,166.65
11,97079,108.32
11,99373,110.82
11,98127,37.49
11,97183,43.74
11,96516,106.65
11,94893,34.37
11,94706,10.82
11,93368,137.48
11,91314,59.98
11,89536,46.87
11,83848,12.49
11,83056,112.49
11,76471,49.98
11,73047,40.82
11,68612,31.24
11,65854,82.48
11,61744,16.87
11,61040,49.99
11,57960,23.32
11,57225,53.12
11,55956,224.98
11,55752,62.48
11,48009,31.24
11,42024,27.48
11,38934,24.99
11,34918,97.48
11,34656,56.24
11,31425,62.49
11,31050,108.32
11,29566,18.32
11,26287,15.62
11,25879,12.49
11,23580,41.24
11,18464,28.12
11,18446,106.24
11,18179,34.37
11,16583,112.48
11,10064,87.49
11,51332,6.07
11,45535,7.07
11,78439,6.07
11,66358,62.48
11,62751,66.65
11,60966,14.15
11,46771,19.15
11,47132,11.65
11,46222,83.32
11,42548,15.82
11,77459,24.15
11,68036,12.48
11,52184,191.65
11,58966,172.48
11,34781,201.65
11,33553,16.65
11,46730,58.32
11,90768,145.82
11,78505,182.48
11,64740,145.82
11,88810,19.15
11,82366,14.15
11,50897,145.82
11,30578,229.98
11,63101,19.15
11,80518,66.65
11,54418,14.15
11,42749,19.15
11,27841,182.48
11,43036,172.48
11,34819,172.48
11,31642,13.32
11,39841,124.98
11,85860,116.65
11,58571,201.65
11,69343,145.82
11,19245,134.15
11,56746,141.65
11,50309,216.65
11,17236,19.15
11,11450,191.65
11,38459,174.98
11,71379,19.98
11,73282,14.15
11,93358,191.65
11,93820,191.65
11,51316,174.98
11,45465,258.32
11,45383,258.32
11,25279,79.98
11,46029,24.98
11,21995,157.48
11,89183,124.98
11,35195,201.65
11,36241,62.48
11,70472,141.65
11,49409,183.32
11,39261,137.48
11,51271,54.15
11,76423,145.82
11,54439,166.65
11,61678,145.82
11,98815,29.15
11,25130,208.32
11,30785,249.15
11,10914,145.82
11,71081,24.15
11,22253,191.65
11,33719,166.65
11,91176,145.82
11,18721,258.32
11,85026,79.98
11,94599,241.65
11,40359,18.32
11,50807,208.32
11,79355,158.32
11,58486,124.98
11,50654,145.82
11,59801,120.82
11,98740,145.82
11,70378,182.48
11,73062,191.65
11,67496,216.65
11,82453,258.32
11,97338,129.15
11,94505,201.65
11,96849,266.65
11,64271,258.32
11,89242,268.32
11,80380,172.48
11,65387,79.98
11,75110,19.15
11,73910,154.15
11,27329,157.48
11,43272,79.15
11,70387,95.82
11,49745,144.15
11,19963,145.82
11,68774,183.32
11,52102,162.48
11,86672,183.32
11,82160,116.65
11,22991,99.98
11,60462,158.32
11,44455,20.82
11,97624,145.82
11,20324,120.82
11,12029,166.65
11,74280,183.32
11,14365,220.82
11,90947,258.32
11,65609,116.65
11,39537,145.82
11,54239,158.32
11,67464,70.82
11,40430,156.65
11,82643,316.65
11,50229,116.65
11,91110,174.98
11,67577,183.32
11,83739,29.15
11,44731,141.65
11,20656,156.65
11,25379,99.98
11,88638,258.32
11,18217,191.65
11,80200,224.98
11,39305,278.32
11,85647,158.32
11,98071,156.65
11,74843,287.48
11,24224,157.48
11,56764,224.98
11,24757,116.65
11,56593,283.32
11,67798,158.32
11,78687,97.48
11,62882,156.65
11,42151,19.15
11,40564,183.32
11,95187,239.98
11,58027,104.15
11,70030,266.65
11,82699,224.98
11,79918,258.32
11,57037,249.98
11,49737,358.32
11,56884,83.32
11,75484,29.15
11,90719,79.98
11,89969,145.82
11,78215,124.98
11,71896,83.32
11,99825,79.98
11,98615,483.32
11,98545,258.32
11,98151,397.48
11,97546,483.32
11,97223,124.98
11,96745,504.15
11,96655,258.32
11,96304,412.48
11,95653,483.32
11,95489,310.82
11,95030,156.65
11,94323,164.98
11,94051,154.15
11,93729,483.32
11,93393,157.48
11,93359,144.15
11,93097,258.32
11,93069,325.82
11,92929,158.32
11,92844,397.48
11,92839,412.48
11,92672,483.32
11,92655,412.48
11,92619,145.82
11,92576,412.48
11,92478,79.98
11,92282,157.48
11,92012,412.48
11,91599,397.48
11,91488,483.32
11,91222,157.48
11,90966,79.98
11,90738,79.98
11,90069,397.48
11,89934,483.32
11,89603,145.82
11,89504,483.32
11,89451,483.32
11,86874,333.32
11,86821,144.15
11,86765,333.32
11,86258,483.32
11,86125,412.48
11,85481,124.98
11,85436,310.82
11,85100,145.82
11,84199,79.98
11,83817,504.15
11,83609,483.32
11,83404,79.98
11,83353,368.32
11,83105,412.48
11,82865,483.32
11,82349,324.98
11,81712,147.48
11,81200,249.98
11,80344,483.32
11,80140,79.98
11,79821,156.65
11,79565,397.48
11,79446,29.15
11,79324,99.98
11,79225,397.48
11,79082,156.65
11,78885,268.32
11,78844,164.98
11,78681,483.32
11,78082,147.48
11,76873,124.98
11,76545,397.48
11,76150,144.15
11,75884,147.48
11,75502,157.48
11,75076,333.32
11,75004,397.48
11,74271,19.15
11,74130,397.48
11,73973,29.15
11,73634,154.15
11,72933,483.32
11,72787,145.82
11,72685,156.65
11,72667,397.48
11,72352,310.82
11,72051,149.98
11,71125,266.65
11,70097,483.32
11,69570,156.65
11,68758,412.48
11,68711,156.65
11,68481,412.48
11,68437,397.48
11,68123,147.48
11,67381,49.98
11,67371,156.65
11,66957,216.65
11,66815,99.98
11,66091,412.48
11,65608,333.32
11,65424,95.82
11,64961,241.65
11,64864,483.32
11,64755,149.98
11,64516,310.82
11,64437,333.32
11,64371,333.32
11,64239,483.32
11,64034,157.48
11,63952,483.32
11,62721,310.82
11,62521,147.48
11,62492,397.48
11,61466,483.32
11,61013,89.98
11,61002,291.65
11,60877,274.98
11,60433,412.48
11,60410,79.98
11,60350,483.32
11,59024,164.98
11,58918,483.32
11,58765,333.32
11,58047,310.82
11,57574,412.48
11,57258,483.32
11,56728,483.32
11,56643,145.82
11,56228,156.65
11,56096,310.82
11,56038,483.32
11,55996,99.98
11,55876,124.98
11,55862,156.65
11,55391,483.32
11,55121,145.82
11,55085,216.65
11,55064,310.82
11,55031,397.48
11,54446,258.32
11,54363,145.82
11,53952,79.98
11,53936,199.98
11,52827,504.15
11,52688,157.48
11,52131,79.98
11,51995,333.32
11,51325,170.82
11,51285,412.48
11,51101,504.15
11,50158,397.48
11,49523,199.98
11,49451,333.32
11,49104,156.65
11,48546,157.48
11,48536,149.98
11,48498,397.48
11,48420,156.65
11,48408,374.98
11,48400,483.32
11,47506,149.98
11,47411,483.32
11,46968,483.32
11,46912,164.98
11,46670,483.32
11,46377,397.48
11,46348,412.48
11,46210,333.32
11,46191,483.32
11,45799,79.98
11,45564,19.98
11,45431,483.32
11,45136,79.98
11,45108,156.65
11,44783,483.32
11,44679,137.48
11,44534,156.65
11,44247,268.32
11,43880,112.48
11,43877,156.65
11,43290,412.48
11,42906,274.98
11,42666,362.48
11,42365,258.32
11,42305,397.48
11,42226,483.32
11,42066,483.32
11,42009,154.15
11,41978,412.48
11,41157,54.15
11,41063,145.82
11,41008,412.48
11,40861,397.48
11,40418,145.82
11,40360,147.48
11,39908,249.15
11,39645,483.32
11,39179,412.48
11,39034,283.32
11,38418,412.48
11,38026,483.32
11,37915,412.48
11,37736,156.65
11,37122,310.82
11,36975,216.65
11,36580,124.98
11,35476,145.82
11,35388,483.32
11,35375,483.32
11,34642,483.32
11,34468,166.65
11,34325,412.48
11,34061,116.65
11,33645,397.48
11,33227,397.48
11,33220,504.15
11,31797,397.48
11,31675,79.98
11,31255,483.32
11,31172,412.48
11,30216,483.32
11,29949,310.82
11,29915,483.32
11,28870,156.65
11,28477,108.32
11,28013,154.15
11,27720,483.32
11,26547,147.48
11,26523,79.98
11,26441,156.65
11,26439,412.48
11,26325,483.32
11,26074,483.32
11,25062,145.82
11,24861,397.48
11,24857,333.32
11,24695,291.65
11,24506,147.48
11,24413,156.65
11,24168,156.65
11,23685,412.48
11,23614,483.32
11,23207,316.65
11,21680,79.98
11,21635,397.48
11,21420,145.82
11,20110,149.98
11,18889,144.15
11,18380,412.48
11,18161,156.65
11,17256,387.48
11,17136,147.48
11,17117,147.48
11,16996,504.15
11,16692,144.15
11,16368,412.48
11,15741,79.98
11,15704,397.48
11,15592,79.98
11,15541,483.32
11,15530,412.48
11,15456,149.98
11,15432,145.82
11,14868,156.65
11,14593,483.32
11,13623,164.98
11,13263,483.32
11,12678,108.32
11,12025,156.65
11,11628,483.32
11,11552,310.82
11,11510,310.82
11,10379,124.98
11,10323,483.32
11,10310,397.48
11,10126,154.15
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,84814,13.32
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,48348,15.62
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,47514,24.98
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,46994,13.48
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,41876,3.12
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,38466,29.15
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,36142,13.32
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,35006,26.65
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34228,40.82
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,34114,26.24
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,32715,3.73
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,27873,29.12
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,17210,7.48
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,15416,21.87
11,10575,12.49
11,10575,12.49
11,10575,12.49
11,10575,12.49
11,10575,12.49
11,10575,12.49
11,10575,12.49
11,10575,12.49
11,10575,12.49
11,10575,12.49
6,97928,8.82
6,77641,4.15
6,70702,3.97
6,35553,5.4
6,41545,3.83
6,41382,5.2
6,82720,1.99
6,53049,2.48
6,17513,4.95
6,48801,4.93
6,38248,15.17
6,48999,6.21
6,22537,6.67
6,36279,20.33
6,35270,6.95
6,26264,28.33
6,47515,5.6
6,92756,6.27
6,29826,4.4
6,94809,6.24
6,87479,10.18
6,86433,10.42
6,85369,10.17
6,82221,1.22
6,77920,0.9
6,72406,7.48
6,71750,4.77
6,67017,5.99
6,60033,3.39
6,59198,3.02
6,58246,6.19
6,57697,2.65
6,56883,4.71
6,52842,3.99
6,48119,2
6,48054,3.73
6,22537,6.67
6,87479,10.18
6,72406,7.48
6,60033,3.39
6,58246,6.19
6,52842,3.99
6,26264,28.33
6,35215,1.47
6,28598,1.98
6,25524,1.82
6,20551,1.84
6,16815,1.32
6,16317,7.41
6,15194,4
6,12999,8.7
6,11881,1.73
6,43529,2.78
6,43034,6.37
6,39535,2.48
6,11881,1.73
6,94243,14.78
6,80525,4.76
6,75070,16.31
6,36577,4.76
6,88723,29.15
6,69947,4.46
6,78174,13.32
6,92867,5.05
6,71692,4.46
6,44132,4.7
6,98041,4.76
6,62343,14.78
6,12268,4.76
6,56164,8.02
6,64927,6.12
6,18814,4.46
6,20920,16.29
6,83379,7.17
6,62073,16.29
6,89984,4.46
6,60070,4.73
6,97400,7.09
6,20896,20.82
6,91139,5.57
6,18930,19.96
6,44309,7.71
6,95233,14
6,21566,15.73
6,49182,20.82
6,94109,38.57
6,81738,24.3
6,35856,30.25
6,93926,15.72
6,44599,4.76
6,44522,17.72
6,69488,14.03
6,40553,17.92
6,96816,29.15
6,20340,2.78
6,98981,5.05
6,18447,9.44
6,95263,9.82
6,70744,16.01
6,90433,47.03
